transaction_id,transaction_timestamp,store_id,product_id,quantity,unit_price,discount,total_amount,currency
T00784,2024-06-01 05:45:01-04:00,S035,P0106,5,174.12,15.85,854.75,USD
T00590,2024-06-02 09:52:43-04:00,S034,P0139,5,194.99,9.19,965.76,EUR
T00408,2024-06-01 21:59:59+00:00,S013,P0141,3,195.29,8.49,577.38,INR
T00563,2024-06-02 04:49:18+05:30,S031,P0049,-1,95.8,13.99,-67.43830973282203,USD
T00722,2024-06-01 16:45:24+05:30,S045,P0186,-1,226.1,16.66,-242.76,EUR
T00633,2024-06-01 02:52:14+00:00,INVALID_STORE,P0008,0,207.45,2.74,30.49561485175287,INR
T00750,2024-06-02 15:16:42-04:00,S042,P0083,3,226.77,3.51,676.8,INR
T00289,2024-06-01 05:28:59+05:30,S022,P0169,3,226.5,6.77,672.73,EUR
T00932,2024-06-01 08:59:58+00:00,S009,P0061,3,36.19,7.89,100.68,EUR
T00672,2024-06-02 16:52:49-04:00,S049,P0165,3,41.42,4.68,164.37056803466834,EUR
T00238,2024-06-02 11:52:18+05:30,S021,P0148,3,198.28,2.33,599.1845457701118,INR
T00317,2024-06-02 18:46:07+00:00,S043,P0070,0,285.32,13.93,-13.93,INR
T00743,2024-06-01 17:11:35+05:30,S020,P0179,1,210.18,4.35,205.83,EUR
T00188,2024-06-02 09:06:41-04:00,S038,P0028,3,27.56,5.52,77.16,USD
T01136,2024-06-01 04:59:45+05:30,S020,P0148,3,80.63,2.52,239.37,USD
T01107,2024-06-01 09:27:56+00:00,S004,P0105,-1,10.82,17.17,-27.99,USD
T00357,2024-06-01 01:08:56+00:00,S039,P0012,1,113.89,15.77,98.12,EUR
T00926,2024-06-01 07:56:27-04:00,S008,P0171,1,148.11,15.56,132.55,EUR
T00874,2024-06-02 05:14:41-04:00,S011,P0115,-1,97.47,12.87,-60.403596020980295,USD
T01199,2024-06-02 22:05:57-04:00,S014,P0044,3,186.41,1.31,557.92,INR
T01130,2024-06-01 08:19:52-04:00,S045,P0005,5,156.61,8.6,774.45,INR
T00875,2024-06-01 22:45:32+00:00,S032,P0046,3,249.95,7.97,741.88,INR
T00267,2024-06-02 03:08:07-04:00,S004,P0115,1,36.46,1.71,34.75,EUR
T00106,2024-06-02 06:47:50+00:00,S003,P0060,1,129.13,17.47,111.66,USD
T00753,2024-06-02 16:30:21+05:30,S005,P0091,2,200.45,4.48,396.42,EUR
T00060,2024-06-01 19:28:29+05:30,S037,P0146,-1,187.94,12.85,-153.98120690522785,INR
T00291,2024-06-01 05:04:01-04:00,S048,,1,62.61,2.87,59.74,USD
T01163,2024-06-01 23:37:15-04:00,S030,P0030,5,131.75,6.82,651.93,EUR
T00906,2024-06-02 11:21:53+00:00,S044,P0162,1,205.45,5.44,200.01,INR
T00094,2024-06-01 22:27:30+05:30,S006,P0027,1,,13.57,78.57,INR
T00016,2024-06-01 08:44:13+00:00,S025,P0145,2,232.53,15.28,449.78,EUR
T00814,2024-06-01 05:14:54-04:00,INVALID_STORE,,2,155.08,16.67,293.49,INR
T00236,2024-06-01 21:04:54+00:00,INVALID_STORE,P0018,-1,134.49,8.09,-142.58,EUR
T00893,2024-06-01 17:43:03-04:00,S040,P0080,5,251.29,18.4,1281.0517961916614,EUR
T01045,2024-06-02 14:38:14+05:30,S014,P0118,3,74.26,15.58,240.69511001356838,EUR
T00314,2024-06-02 19:51:55-04:00,S012,P0053,2,78.52,2.93,154.11,INR
T00662,2024-06-02 17:06:18-04:00,S050,P0096,-1,230.36,8.98,-239.34,EUR
T00636,2024-06-01 05:24:08+00:00,S044,P0193,3,240.94,11.83,710.99,USD
T00788,2024-06-02 12:55:24+00:00,S043,P0046,0,260.63,17.11,-17.11,USD
T00975,2024-06-02 20:03:18-04:00,S030,P0098,5,273.62,11.43,1356.67,INR
T01074,2024-06-02 07:59:51-04:00,S044,P0043,0,34.46,12.92,23.922976694547543,INR
T00135,2024-06-02 00:22:06+00:00,S005,P0061,5,234.59,13.58,1192.759895849889,EUR
T01194,2024-06-01 05:56:05-04:00,S028,P0133,0,289.68,12.05,-12.05,EUR
T01145,2024-06-01 22:32:35+00:00,S021,P0015,0,123.67,11.9,-11.9,EUR
T00742,2024-06-02 13:01:37+05:30,S002,P0013,0,299.18,18.25,16.92052180359726,INR
T01040,2024-06-01 07:21:53-04:00,S016,P0013,2,,2.75,191.64927749086476,INR
T00340,2024-06-02 21:29:31-04:00,S019,P0009,-1,48.0,7.53,-55.53,USD
T01094,2024-06-01 17:02:22+05:30,S045,P0016,5,187.07,15.05,920.3,USD
T00783,2024-06-01 20:31:04-04:00,S042,P0038,3,206.71,11.41,608.72,EUR
T01136,2024-06-02 03:01:51+05:30,S034,P0178,2,263.17,1.04,525.3,USD
T00188,2024-06-02 07:51:20+05:30,S003,P0143,2,89.11,18.11,160.11,INR
T00768,2024-06-01 05:56:32+05:30,INVALID_STORE,P0168,1,124.97,7.48,117.49,EUR
T00285,2024-06-02 10:24:11-04:00,S028,P0164,3,239.5,2.75,715.75,USD
T01081,2024-06-02 20:20:14+00:00,S039,P0103,3,72.54,2.99,214.63,USD
T01024,2024-06-01 08:04:20-04:00,S028,P0189,2,131.75,15.88,247.62,EUR
T00854,2024-06-02 17:33:16+05:30,S001,P0119,2,94.47,0.03,188.91,USD
T00800,2024-06-01 01:28:50+00:00,INVALID_STORE,P0016,-1,167.78,15.73,-183.51,EUR
T00213,2024-06-02 23:50:55-04:00,S015,P0059,1,,1.35,112.21,EUR
T00981,2024-06-02 09:49:58-04:00,S013,P0020,3,245.92,3.5,734.26,INR
T00647,2024-06-01 03:03:05+00:00,S006,P0134,1,95.1,0.88,94.22,INR
T00680,2024-06-01 03:28:51+00:00,S028,P0002,1,228.45,3.82,224.63,EUR
T01019,2024-06-02 12:07:56+00:00,S002,P0197,5,269.44,7.73,1339.47,EUR
T00602,2024-06-02 15:43:12+00:00,S047,P0056,5,32.89,12.05,152.4,INR
T00087,2024-06-02 08:33:32-04:00,S035,P0160,-1,218.12,3.33,-221.45,INR
T01051,2024-06-02 02:27:19-04:00,S005,P0124,0,294.21,18.96,14.728064204748428,EUR
T00742,2024-06-02 02:40:30+00:00,S008,,0,236.58,0.7,39.33319180780894,INR
T00752,2024-06-02 14:33:14+00:00,S038,P0136,3,117.88,15.26,338.38,USD
T00537,2024-06-01 08:34:30+00:00,S008,P0034,0,63.95,10.35,-10.35,EUR
T00180,2024-06-02 08:24:43-04:00,S034,P0138,5,68.05,2.71,350.3095363792819,EUR
T00357,2024-06-01 11:28:09+00:00,S006,P0040,1,169.5,5.81,163.69,USD
T00958,2024-06-02 02:51:47-04:00,S005,P0020,2,239.21,0.53,477.89,INR
T00152,2024-06-02 17:51:46+05:30,S024,P0067,0,218.47,10.51,-10.51,EUR
T00373,2024-06-02 22:35:18+05:30,S024,P0053,-1,109.91,17.56,-127.47,USD
T00709,2024-06-01 16:25:05-04:00,S041,P0145,-1,54.37,3.29,-57.66,EUR
T01030,2024-06-01 06:48:11-04:00,S002,P0153,-1,89.59,12.5,-102.09,EUR
T00085,2024-06-02 17:02:29+05:30,S033,P0009,-1,218.98,12.1,-231.08,INR
T01020,2024-06-01 02:12:19-04:00,S023,P0056,0,71.13,11.44,-11.44,USD
T00901,2024-06-01 11:30:39+00:00,S006,P0065,0,127.77,9.07,-9.07,INR
T00268,2024-06-02 05:02:01+00:00,S017,P0014,0,102.6,19.76,-19.76,USD
T00857,2024-06-02 20:48:37+05:30,S010,P0182,3,140.38,2.82,465.86232017164485,EUR
T00957,2024-06-02 13:28:52+00:00,S042,P0193,0,100.69,15.26,-15.26,INR
T00104,2024-06-01 03:32:35+00:00,S023,P0147,-1,142.6,4.81,-147.41,INR
T00750,2024-06-01 19:15:29+00:00,S012,P0052,3,165.64,16.94,479.98,USD
T00573,2024-06-02 16:02:21-04:00,S021,P0074,3,170.43,1.47,509.82,INR
T00408,2024-06-01 10:30:18-04:00,S049,P0122,3,,6.78,714.78,USD
T01056,2024-06-02 20:08:47+05:30,S033,P0130,0,106.58,9.47,-9.47,EUR
T01091,2024-06-02 13:06:58+00:00,S043,P0096,0,254.35,11.87,-11.87,INR
T00055,2024-06-02 21:49:16-04:00,S042,P0199,3,205.4,19.6,596.6,EUR
T00779,2024-06-02 14:10:24+05:30,S018,P0117,-1,75.99,1.03,-77.02,EUR
T00418,2024-06-02 06:04:15+00:00,S050,P0118,1,65.33,8.82,56.51,EUR
T00980,2024-06-01 23:40:09-04:00,S016,P0125,0,28.06,2.76,-2.76,EUR
T00542,2024-06-02 22:50:39-04:00,S043,P0099,3,168.42,13.52,491.74,INR
T01002,2024-06-01 15:05:36+00:00,S029,P0195,2,283.03,19.65,546.41,EUR
T00707,2024-06-02 04:43:44+05:30,S003,P0011,3,93.46,11.47,268.91,INR
T00556,2024-06-02 15:13:04-04:00,S040,P0031,5,200.23,14.95,986.2,EUR
T00477,2024-06-02 22:27:13+05:30,S025,P0145,2,80.31,13.4,147.22,EUR
T00975,2024-06-02 05:37:48+00:00,S010,P0146,2,11.5,11.01,11.99,INR
T01096,2024-06-01 16:54:35-04:00,S020,P0120,0,27.16,15.37,-15.37,USD
T01015,2024-06-02 04:54:29+05:30,S048,P0148,5,265.85,3.52,1325.73,USD
T00583,2024-06-02 00:23:49+00:00,S007,P0082,1,96.53,12.06,84.47,USD
T00940,2024-06-01 11:49:56-04:00,S010,P0129,-1,145.73,3.86,-149.59,INR
T00831,2024-06-02 22:30:38+00:00,S043,P0120,-1,205.58,3.86,-209.44,USD
T00547,2024-06-02 08:31:49+00:00,S017,P0117,2,,18.72,300.4608475804214,EUR
T00328,2024-06-01 22:20:27+00:00,S045,P0056,3,210.9,1.24,631.46,INR
T00453,2024-06-02 20:45:20+05:30,S019,P0129,0,44.05,18.32,-18.32,EUR
T00448,2024-06-02 15:08:27+05:30,S034,P0065,3,130.6,10.98,380.82,EUR
T00127,2024-06-01 08:10:14-04:00,S026,P0194,5,163.17,7.24,808.61,USD
T01002,2024-06-02 18:27:48+05:30,S050,P0073,3,257.8,8.84,764.56,USD
T00045,2024-06-01 22:26:24+00:00,S024,,-1,130.47,11.28,-141.75,USD
T00142,2024-06-01 04:23:15+00:00,INVALID_STORE,P0165,1,132.87,14.01,118.86,EUR
T00919,2024-06-02 03:51:04+00:00,S047,P0010,0,197.31,8.41,-8.41,EUR
T00805,2024-06-02 15:07:19-04:00,S014,P0161,2,199.52,6.96,392.08,USD
T00471,2024-06-02 03:37:05+05:30,S018,P0119,3,144.27,14.38,418.43,EUR
T00493,2024-06-01 01:08:21+05:30,S038,P0103,1,19.34,13.2,6.14,EUR
T00445,2024-06-02 15:18:14+05:30,S044,P0047,0,262.94,4.89,19.86332651693573,EUR
T00486,2024-06-01 23:21:00+00:00,S025,P0047,-1,102.48,11.96,-114.44,INR
T00875,2024-06-01 12:45:10-04:00,S016,P0041,3,89.79,11.13,258.24,EUR
T00615,2024-06-01 10:51:56+00:00,S020,P0102,5,237.88,6.37,1183.03,USD
T01152,2024-06-01 04:11:45+00:00,S018,P0141,3,258.69,2.89,773.18,USD
T00190,2024-06-02 03:01:15-04:00,S015,P0170,3,68.97,12.93,193.98,EUR
T01145,2024-06-02 18:47:11+05:30,S006,P0169,-1,184.85,17.47,-202.32,USD
T00497,2024-06-02 10:52:26-04:00,S046,P0063,2,281.78,19.24,544.32,EUR
T00632,2024-06-02 02:09:37+00:00,S010,P0070,3,234.9,7.61,697.09,EUR
T00848,2024-06-01 22:47:10+05:30,S009,P0191,5,230.87,6.4,1147.95,INR
T00402,2024-06-01 11:05:53+00:00,S031,P0185,-1,281.08,11.58,-292.66,EUR
T01005,2024-06-02 11:34:49+00:00,S050,P0105,0,283.6,6.75,-6.75,EUR
T00121,2024-06-02 22:44:06-04:00,INVALID_STORE,P0180,-1,151.61,18.34,-169.95,EUR
T00140,2024-06-01 16:51:08-04:00,S043,P0091,1,231.66,8.25,223.41,USD
T00033,2024-06-02 11:31:28+05:30,S039,P0097,-1,,18.68,-213.62,EUR
T00368,2024-06-02 07:21:12+05:30,S025,P0188,3,165.36,5.73,490.35,EUR
T00765,2024-06-01 05:45:14+00:00,S006,P0074,-1,83.2,7.09,-90.29,INR
T00065,2024-06-02 23:19:25+05:30,S035,P0108,0,250.14,1.61,-1.61,EUR
T00679,2024-06-02 22:57:38-04:00,S041,P0106,1,213.83,1.65,212.18,USD
T00556,2024-06-02 10:37:29+05:30,S030,P0175,2,71.31,17.36,125.26,EUR
T00425,2024-06-01 01:08:24-04:00,S024,P0161,-1,200.85,3.59,-204.44,USD
T01108,2024-06-02 04:20:15+00:00,S037,P0197,3,57.11,4.81,166.52,EUR
T00896,2024-06-01 07:06:47+05:30,S047,P0055,0,32.74,14.91,-14.91,EUR
T01005,2024-06-02 08:48:29+05:30,S012,P0148,5,290.99,6.53,1448.42,EUR
T00151,2024-06-01 17:56:45+05:30,S026,P0162,-1,201.59,1.71,-203.3,USD
T00738,2024-06-02 08:23:04+00:00,S012,P0166,0,122.99,7.21,40.22321023041036,EUR
T00665,2024-06-02 19:28:00+00:00,INVALID_STORE,P0022,-1,158.61,2.07,-130.74010875710928,EUR
T00780,2024-06-01 12:20:55+05:30,S034,P0086,-1,272.51,19.56,-292.07,USD
T00740,2024-06-01 05:36:04+00:00,S033,P0055,2,136.06,8.42,263.7,EUR
T00779,2024-06-02 21:09:39+00:00,S032,P0010,2,142.78,2.71,305.6561390291883,EUR
T00982,2024-06-01 14:37:32+00:00,S021,P0154,-1,49.48,6.41,-55.89,EUR
T00771,2024-06-01 23:43:49+00:00,S050,P0146,0,193.54,19.36,-19.36,EUR
T00056,2024-06-02 16:03:25-04:00,S007,P0174,2,181.75,10.91,352.59,INR
T00286,2024-06-02 12:21:29-04:00,S027,P0167,0,30.06,16.96,-16.96,INR
T01095,2024-06-02 05:11:08-04:00,S014,P0199,5,31.45,19.81,137.44,USD
T00224,2024-06-01 06:11:17+05:30,S037,P0094,3,213.47,16.25,624.16,USD
T00882,2024-06-02 00:08:46+05:30,INVALID_STORE,P0075,-1,295.25,13.55,-308.8,EUR
T00949,2024-06-02 04:28:53-04:00,S015,P0119,-1,178.35,11.5,-189.85,USD
T00291,2024-06-01 08:27:06+00:00,S010,P0134,5,40.32,8.32,193.28,INR
T00138,2024-06-01 23:13:20+00:00,INVALID_STORE,P0155,3,,8.76,435.51,INR
T01057,2024-06-01 17:45:40+05:30,S019,P0047,0,41.72,16.0,-16.0,INR
T00886,2024-06-02 23:51:49+00:00,INVALID_STORE,P0088,2,241.35,12.6,470.1,EUR
T01183,2024-06-01 04:33:20+05:30,S042,P0054,5,122.76,14.09,599.71,USD
T00642,2024-06-02 22:32:18-04:00,S003,P0109,5,43.05,13.41,201.84,INR
T00174,2024-06-01 21:39:33-04:00,S042,P0069,5,189.04,16.27,928.93,USD
T01178,2024-06-01 10:02:21+00:00,S042,P0108,3,211.1,10.22,623.08,EUR
T00924,2024-06-01 22:54:25-04:00,S040,P0110,2,,9.79,332.05,USD
T00838,2024-06-02 12:02:33-04:00,S008,P0031,2,246.41,19.28,473.54,USD
T00563,2024-06-01 02:22:50+05:30,S035,P0095,1,173.97,15.92,158.05,EUR
T00752,2024-06-02 15:32:52-04:00,S044,,5,169.42,2.26,844.84,EUR
T00610,2024-06-01 18:01:28+05:30,S017,P0024,2,297.03,2.05,592.01,INR
T00719,2024-06-02 18:48:40-04:00,S015,P0120,1,234.93,4.74,230.19,USD
T01104,2024-06-02 19:27:42+05:30,S031,P0001,2,243.58,11.4,475.76,INR
T00122,2024-06-02 05:58:17+00:00,S007,P0138,-1,295.79,13.59,-261.05526022527937,USD
T01003,2024-06-02 04:35:44+05:30,S034,P0182,2,216.3,16.57,416.03,INR
T00756,2024-06-01 20:15:35+00:00,S038,P0198,1,,17.6,204.35260624394647,EUR
T00130,2024-06-02 02:05:05-04:00,S048,P0100,1,221.97,9.17,212.8,INR
T01160,2024-06-01 09:30:34+00:00,S034,P0199,3,103.63,5.67,305.22,USD
T00904,2024-06-01 11:30:14+00:00,INVALID_STORE,P0117,1,191.59,16.73,221.6844793906385,EUR
T00192,2024-06-01 19:57:12-04:00,S002,P0031,2,265.82,6.04,525.6,EUR
T00880,2024-06-01 17:02:59-04:00,S001,P0196,2,25.02,12.51,37.53,USD
T00704,2024-06-01 00:35:13+05:30,S025,P0139,2,182.17,10.39,353.95,USD
T00753,2024-06-01 22:49:03+00:00,S033,P0138,2,121.09,14.62,227.56,USD
T00337,2024-06-01 00:37:01+00:00,S047,P0020,0,297.95,2.86,-2.86,INR
T00787,2024-06-01 08:58:04+00:00,S028,P0154,-1,209.1,17.2,-216.77906993850627,INR
T00584,2024-06-02 20:14:36-04:00,INVALID_STORE,P0059,0,34.43,11.07,-11.07,USD
T00112,2024-06-02 23:03:09+05:30,S018,P0146,-1,186.01,3.77,-189.78,EUR
T00271,2024-06-01 23:02:41+00:00,S050,P0144,1,163.2,19.55,143.65,EUR
T00139,2024-06-01 01:12:55+05:30,S037,,2,231.19,19.09,443.29,INR
T00824,2024-06-02 06:50:37+05:30,S003,P0099,-1,93.08,14.25,-107.33,USD
T01099,2024-06-01 11:18:51+00:00,S006,P0087,3,32.92,18.42,80.34,EUR
T00119,2024-06-01 17:22:37+05:30,S004,P0131,0,29.17,13.97,-13.97,EUR
T00026,2024-06-01 08:41:51-04:00,S016,,1,99.69,14.83,84.86,INR
T00260,2024-06-02 03:04:43-04:00,S009,P0088,-1,159.99,16.45,-176.44,USD
T00158,2024-06-02 17:59:25+00:00,S017,P0152,3,244.06,5.44,763.7945461690223,EUR
T00237,2024-06-02 17:47:27+05:30,S032,,2,116.63,5.1,228.16,USD
T00073,2024-06-01 13:01:53-04:00,S048,P0084,2,23.33,7.28,39.38,USD
T01171,2024-06-01 05:40:17+00:00,S029,P0190,3,82.0,18.32,227.68,USD
T00637,2024-06-01 20:33:25+00:00,S022,P0093,-1,294.61,19.08,-287.7607619937401,INR
T01011,2024-06-02 02:49:00+05:30,S031,P0047,-1,237.51,14.79,-252.3,USD
T00020,2024-06-02 22:18:28+00:00,INVALID_STORE,P0098,1,280.4,0.48,279.92,EUR
T00123,2024-06-02 11:49:42+05:30,S018,P0187,3,40.15,10.6,109.85,EUR
T01190,2024-06-01 06:10:56+05:30,S017,P0174,5,213.25,7.45,1058.8,EUR
T00535,2024-06-01 21:14:21+00:00,S043,P0083,-1,28.06,13.25,-41.31,INR
T01198,2024-06-01 09:54:40+05:30,S003,P0082,3,141.3,4.67,419.23,INR
T00949,2024-06-01 22:27:01+00:00,S046,P0086,1,165.42,19.29,146.13,INR
T00304,2024-06-01 23:52:09+05:30,S048,P0062,0,212.09,0.81,-0.81,USD
T00927,2024-06-02 05:26:48-04:00,S013,P0200,0,96.66,16.4,-16.4,USD
T00406,2024-06-01 09:31:06+00:00,S048,P0014,1,13.47,16.61,-3.14,EUR
T00909,2024-06-02 23:02:21+05:30,S048,P0092,-1,85.06,16.25,-93.40875837788906,USD
T00809,2024-06-02 07:32:29+00:00,INVALID_STORE,P0056,1,283.26,1.01,282.25,USD
T00504,2024-06-02 20:43:04-04:00,S005,P0161,2,89.74,8.92,170.56,USD
T00511,2024-06-02 14:17:19-04:00,S007,P0073,1,,2.74,88.4,INR
T01029,2024-06-02 17:11:22+00:00,S024,P0087,0,114.14,10.89,-10.89,USD
T00733,2024-06-02 14:33:07-04:00,S046,P0177,1,269.77,15.57,303.8189095543757,EUR
T00450,2024-06-01 04:04:16-04:00,S025,P0003,2,87.29,16.33,158.25,USD
T00058,2024-06-02 02:07:32-04:00,S027,P0115,2,78.6,6.36,150.84,EUR
T00633,2024-06-02 15:28:34+05:30,S039,P0079,2,252.64,16.21,489.07,USD
T00268,2024-06-01 14:40:12+00:00,S026,P0014,1,162.67,0.01,162.66,INR
T01078,2024-06-01 08:04:37+00:00,S018,P0069,1,16.35,11.73,4.62,INR
T00895,2024-06-01 11:28:08-04:00,S024,P0066,-1,39.3,6.04,-45.34,EUR
T00360,2024-06-02 18:53:09+00:00,S017,P0188,0,267.98,12.27,-12.27,EUR
T00067,2024-06-02 17:19:22+05:30,S029,P0060,1,285.15,18.97,266.18,USD
T00488,2024-06-01 05:39:56+00:00,S043,P0125,0,174.01,18.73,-18.73,USD
T00544,2024-06-01 00:49:47+05:30,S007,P0005,0,204.31,14.59,-14.59,USD
T00848,2024-06-01 12:06:44+00:00,S012,P0038,0,10.37,7.72,-7.72,INR
T00069,2024-06-01 05:22:02+00:00,INVALID_STORE,P0197,-1,198.78,13.74,-212.52,INR
T00693,2024-06-01 06:46:46-04:00,S013,P0169,2,267.5,3.22,579.1625364590852,INR
T00679,2024-06-01 07:22:24+05:30,S039,P0145,0,57.85,17.8,-17.8,EUR
T00805,2024-06-01 03:36:51-04:00,S037,P0091,-1,86.93,5.63,-92.56,USD
T00409,2024-06-02 10:58:35+05:30,INVALID_STORE,P0169,5,35.41,16.48,160.57,USD
T00543,2024-06-02 11:36:53+05:30,S050,P0038,5,254.69,6.17,1267.28,INR
T00464,2024-06-01 19:10:48+00:00,S034,P0022,3,64.11,0.89,191.44,USD
T00466,2024-06-02 18:56:33-04:00,S039,P0162,1,203.76,16.16,187.6,EUR
T00613,2024-06-02 10:40:49+05:30,S022,P0164,0,,9.5,-9.5,EUR
T00920,2024-06-01 08:45:31+05:30,S023,P0131,-1,242.13,13.55,-255.68,USD
T00303,2024-06-01 14:42:11-04:00,S036,P0181,2,22.38,1.57,43.19,USD
T01065,2024-06-01 20:06:44+00:00,S001,,1,122.55,7.95,114.6,EUR
T01194,2024-06-02 17:15:29+05:30,S005,P0182,-1,236.69,2.25,-238.94,INR
T00995,2024-06-02 23:40:48-04:00,S001,,-1,265.24,17.56,-282.8,USD
T00487,2024-06-02 00:08:19+05:30,S013,P0161,-1,186.51,13.87,-155.3491603738584,USD
T00202,2024-06-02 11:47:55+05:30,S047,P0158,3,247.04,6.06,735.06,INR
T00993,2024-06-02 05:38:57-04:00,S007,P0188,3,221.35,12.1,676.8272469126625,USD
T01165,2024-06-02 14:10:38+05:30,S043,P0150,1,100.23,10.14,90.09,USD
T00562,2024-06-01 14:29:55+00:00,S039,P0031,2,19.59,1.01,38.17,USD
T00972,2024-06-01 12:55:52-04:00,S035,P0153,0,18.86,7.45,-7.45,INR
T00439,2024-06-02 17:40:14+05:30,S033,P0072,0,250.95,1.81,5.42429692783082,INR
T00971,2024-06-01 00:38:52+05:30,S042,P0091,-1,,15.61,-31.43,INR
T00564,2024-06-02 22:48:10+00:00,S020,P0161,-1,243.47,6.11,-249.58,USD
T00210,2024-06-02 18:33:39+05:30,S023,P0144,5,97.62,10.41,477.69,INR
T00987,2024-06-01 07:52:18+05:30,S044,P0091,-1,197.73,12.18,-209.91,INR
T00308,2024-06-01 13:42:57-04:00,S018,P0094,3,200.27,19.04,581.77,EUR
T01019,2024-06-02 23:43:29+00:00,S031,P0093,5,201.55,13.62,994.13,USD
T01095,2024-06-01 16:11:31-04:00,S007,P0047,-1,215.34,11.44,-226.78,EUR
T00602,2024-06-01 13:11:23+05:30,S044,P0200,3,255.17,16.81,748.7,EUR
T00728,2024-06-01 16:11:02+05:30,S031,P0117,2,284.61,17.99,551.23,INR
T00110,2024-06-02 10:15:48-04:00,S029,P0049,3,85.56,5.88,250.8,USD
T00111,2024-06-02 06:04:53+05:30,S048,P0042,-1,44.75,13.61,-58.36,EUR
T00999,2024-06-01 05:53:04+00:00,S023,P0183,5,51.54,17.25,240.45,USD
T01003,2024-06-01 11:32:12+05:30,S049,P0154,5,89.32,15.22,431.38,INR
T00029,2024-06-02 03:10:06+00:00,S008,P0171,5,,0.75,605.05,USD
T00265,2024-06-01 22:43:33+05:30,S002,P0169,0,222.74,4.53,-4.53,USD
T00692,2024-06-02 14:09:54+00:00,S040,P0198,3,285.05,9.12,846.03,INR
T00040,2024-06-02 05:22:26+05:30,S042,P0083,3,227.53,3.3,679.29,USD
T00769,2024-06-01 02:43:14-04:00,S002,P0120,-1,,2.46,-158.8,USD
T00779,2024-06-02 08:21:14+05:30,S012,P0096,0,41.35,16.72,-6.509457814731448,EUR
T00553,2024-06-02 13:53:15-04:00,S011,P0182,0,192.79,6.02,-6.02,USD
T01020,2024-06-01 07:44:16+05:30,S025,P0127,-1,218.44,2.35,-220.79,USD
T00985,2024-06-01 15:07:25+00:00,S040,,3,214.0,5.91,663.4259621015642,USD
T00525,2024-06-01 07:22:32-04:00,S009,P0125,-1,204.02,2.98,-178.97325938659034,INR
T00873,2024-06-01 22:46:14-04:00,S033,P0089,1,38.94,3.49,53.52552297569558,USD
T00550,2024-06-02 07:52:24-04:00,S047,P0164,2,202.37,3.41,401.33,INR
T00864,2024-06-02 10:49:29-04:00,S036,P0008,5,289.07,5.44,1439.91,EUR
T00989,2024-06-02 19:01:01-04:00,S034,P0127,1,294.66,16.89,277.77,INR
T00990,2024-06-01 09:30:50+00:00,S002,P0141,-1,,13.69,-32.05,INR
T01158,2024-06-02 17:59:25+05:30,S005,P0070,0,101.13,14.09,-14.09,EUR
T00987,2024-06-01 18:06:02+00:00,S008,P0003,0,213.17,1.9,-1.9,EUR
T01016,2024-06-02 10:10:21+05:30,S030,P0107,-1,25.82,12.87,-38.69,INR
T00162,2024-06-01 17:06:43+00:00,S042,P0185,1,157.01,11.01,146.0,INR
T00211,2024-06-01 01:17:38+00:00,S022,P0094,5,,19.61,488.69,USD
